coarse_step,runtime,n_max_iterations,accuracy,mae_len,rmse_len,mae_len_99p,rmse_len_99p,mae_len_1p,rmse_len_1p,mae_az,rmse_az,mae_az_99p,rmse_az_99p,mae_az_1p,rmse_az_1p,mae_el,rmse_el,mae_el_99p,rmse_el_99p,mae_el_1p,rmse_el_1p
2,43516.7109375,0,0.918,0.16865746189386,1.60127410208246,0.121117487305614,0.132963502245135,4.87511494613025,15.957995644817,0.129375000000016,1.5987115906254,0.090505050505066,0.233452350598579,3.97750000000006,15.8174705626405,0.0732000000000132,0.0905538513813722,0.0718181818181942,0.087746766034392,0.210000000000092,0.240312296814012
3,21851.900390625,0,0.915,0.194383680148522,1.81141208729543,0.122163970686392,0.134975680562957,7.34413491689937,18.0642672145869,0.152275000000015,1.80702760078534,0.104090909090924,0.843461183266186,4.92250000000001,16.0032379536142,0.076750000000013,0.125956341642653,0.072828282828295,0.0900056114973368,0.465000000000092,0.885720046064295
4,15761.7529296875,0,0.914,0.284461221842569,4.1453237207726,0.123220823484014,0.13842092881986,16.2472606593395,41.4303511932979,0.241675000000015,4.11778626812987,0.194267676767691,3.82912730385004,4.93500000000004,15.6223237708095,0.0870000000000131,0.47701677119363,0.0846969696969824,0.477001365857896,0.315000000000051,0.478539444560264
5,13961.732421875,0,0.9135,0.478719502358053,9.06510665960418,0.123232392131669,0.138133298233292,35.6719434147701,90.6406469250964,0.436575000000015,9.05250345208453,0.382828282828298,8.954487617103,5.7575,16.0212320063096,0.086550000000013,0.477849348644524,0.0828787878788005,0.467345285802276,0.45000000000005,1.10056803515281
6,14589.79296875,0,0.9155,0.479727214290756,7.33491470638889,0.122696234874692,0.136459562219771,35.8257941764811,73.3365793789157,0.437175000000016,7.3015288638751,0.239722222222238,4.20178668706987,19.985,59.8613919818108,0.0990000000000127,0.699035049192822,0.0967676767676887,0.700650851823951,0.320000000000081,0.514538628287541
7,16493.951171875,0,0.908,0.702788555673384,9.20242569923822,0.132793202080328,0.198996852926746,57.1323285613859,92.0029537569311,0.632775000000016,8.86381626332593,0.259621212121228,4.24095784992608,37.575,77.9495814613524,0.180000000000013,2.47333782569224,0.0828030303030433,0.22843616352951,9.80250000000001,24.6287205311198
8,19336.306640625,0,0.9125,0.780058314000782,8.88701377010298,0.129791240593844,0.213564623673597,65.1564985812877,88.8447297255161,0.715775000000014,8.61565399432923,0.362474747474762,5.3041502713452,35.6925,68.100531385592,0.168350000000013,2.17933934943597,0.0830050505050636,0.381998664654701,8.6175,21.4593947957532
9,22581.29296875,0,0.9085,1.32673980057183,14.5058482602707,0.178915586901446,0.98291272463145,114.96133695394,144.728427580762,1.26872500000001,14.3034696402657,0.713383838383847,10.6497009964193,56.2475,96.0766744584761,0.217650000000013,2.41462005292759,0.108686868686881,0.854129895734775,11.005,22.6012112507273
