coarse_step,runtime,accuracy,mae_len,rmse_len,mae_len_99p,rmse_len_99p,mae_len_1p,rmse_len_1p,mae_az,rmse_az,mae_az_99p,rmse_az_99p,mae_az_1p,rmse_az_1p,mae_el,rmse_el,mae_el_99p,rmse_el_99p,mae_el_1p,rmse_el_1p
1,161938.421875,0.995999999999999996447286321199499,0.049326626337007177525162404663206,0.0720069441095782525330548651254503,0.0463769420563103565435802977390267,0.0527285788761936644042371824525617,0.341345370125992697563077626909944,0.493203811826305626997424269575276,0.0277249999999999406641304489085087,0.0594663770546010467255015896625991,0.0265909090909084884490898303965878,0.0531222147219939794249299325201719,0.140000000000053859139370615594089,0.272488531868782468681189357084804,0.0305749999999993631039085784095732,0.0406048026716041635109100127465354,0.0301515151515143915716965494766555,0.039981056120177084489686336610248,0.0725000000000115135678768751859025,0.0813941029805048121836819063901203
2,49697.3671875,0.994500000000000050626169922907138,0.0532246373257596813721725936829898,0.135185058345958036829514981036482,0.0464586609446310458415574373702839,0.0528003673081801003230673074995138,0.723056299057494911153298744466156,1.24559222862059204572915405151434,0.0296750000000000208055794814754336,0.117287041057399607502098604072671,0.0255303030303025216274370734481636,0.0386155618392585511799985908965027,0.440000000000052460258359587896848,1.10815161417561269807663393294206,0.0324749999999993724242308701377624,0.0672216482987428032291887802784913,0.0319949494949487364681139922595321,0.0669218600573475846937654409884999,0.0800000000000117977849711792259768,0.0921954445729355892558132268277404
3,37992.98828125,0.993999999999999994670929481799249,0.0691877110776757675569825778438826,0.511820280958071749388693660876015,0.0464438683578222710757188451680122,0.0528003673081800795063855957778287,2.32082814034317319595857043168508,5.09116882454313746109164640074596,0.045724999999999994815258475000519,0.503543692245269292051546017319197,0.0316666666666661281159811380803148,0.285446663984353532494964156285278,1.43750000000005262457136723242002,4.15801936022428897388181212591007,0.0327249999999993657073815711555653,0.091671969543584932993418590285728,0.0321212121212113704826762727861933,0.0914391114956344258635212440822215,0.0925000000000114896980818457450368,0.11236102527122651673074926748086
4,83420.4453125,0.994999999999999995559107901499374,0.126372892400357733633242673931818,2.12431989116516994897665426833555,0.0463457282184947041980827009410859,0.0526806655733626019721960176411812,8.04906214640479866773148387437686,21.236731151474323553429712774232,0.0795750000000001594946397176499886,1.73999604884603131793596730858553,0.0706060606060602280464877367194276,1.72910761125874778976196921576047,0.967500000000052873261324748455081,2.60136983145419442564616474555805,0.0584749999999994510280210135988455,1.21866679203137118214783640723908,0.0575505050505044010722421887749078,1.22431025727167663852412715641549,0.150000000000012123635428906709421,0.346770817687995946965173743592459
5,58649.7109375,0.992500000000000048849813083506888,0.265538831552802445656880081514828,4.55528209883866619378522955230437,0.0464853761565660536514421607989789,0.0528720582676189682080902798588795,21.9518309157801994047076732385904,45.5497832047530124555123620666564,0.207775000000000709121650288579985,4.09264355276649549608691813773476,0.205606060606060736528633015041123,4.11167836654329654777484392980114,0.422500000000054665161286493457737,1.13539640654707518763189000310376,0.0973249999999994813704162766043737,2.0002159258440159739222963253269,0.057651515151514537427246409606596,1.22431541374078323158869352482725,4.02500000000001012523398458142765,15.864756537684405302002232929226
6,78977.8359375,0.990999999999999992006394222698873,0.33332743359263428128969053432229,4.97923538306836821476508703199215,0.0467099840816484132566266396224819,0.0532409237297391951804215182164626,28.7084549351802351679907587822527,49.78953579819759767133291461505,0.274775000000000768629604408488376,4.55874064298476699974571602069773,0.224065656565656912135864331503399,4.19540438209406563174752591294236,5.29500000000004611422355083050206,18.3213331938481012173269846243784,0.100374999999999464650457525749516,2.0026654113955317804141031956533,0.0585101010101004015417913706187392,1.22471652048773660403924168349477,4.24500000000000632383034826489165,15.8925690182550436446717867511325
7,132705.609375,0.991500000000000047961634663806763,0.267487061829131678170057284660288,3.56120695832185463203245490149129,0.0466910935741283103506127361015388,0.0531578552591950512229423964072339,22.1262879190744641277888149488717,35.6081416251957634244718065019697,0.212575000000000569055913501870236,3.33336710399563518336663037189282,0.156969696969697009025779266266909,2.76842906626659690516589762410149,5.71750000000005442757355922367424,18.7717307406642746059333148878068,0.0693749999999994787502899384890043,1.25333904032389953364656776102493,0.0576262626262620328287944460043946,1.2243087103267098481040875412873,1.23250000000000570210545447480399,2.94815620346005369256658923404757
8,201441.34375,0.990999999999999992006394222698873,0.260372370929698171426736053035711,3.45852136035040302886045537889004,0.046802162908412964226201324891008,0.0533238627955092830967842587597261,21.4038229650369302703438734170049,34.581143705782785957580927060917,0.207475000000000853184189963940298,3.23009152347116268444437992002349,0.152525252525252869029159796809836,2.67976517891804633109131827950478,5.6475000000000470379291073186323,18.2322824956175004729175270767882,0.0672749999999995434984967346281337,1.23607392578277197614511351275723,0.0595454545454540060123171940631437,1.22728348293081035436102865787689,0.832500000000006346034808757394785,1.91614848067679854892730872961693
9,163482.71875,0.986999999999999988453680543898372,0.559716659659519555347628738672938,8.60386453868260225874564639525488,0.0494294264504289287964766685945506,0.0854060414677553780826713136775652,51.0781527473594962884817505255342,86.0344487690831840609462233260274,0.524924999999980768095042549248319,8.45416295383529714513315411750227,0.384292929292909313243598035114701,7.97782342914831676949916072771885,14.4475000000000370903308066772297,29.0923722820948498224424838554114,0.0764249999999994378274692508057342,1.59800305068544878928094021830475,0.0310101010101004152808013003550514,0.0457816513022354099060606813509366,4.57250000000000333955085807247087,15.9735367091949971296571675338782
10,201730.734375,0.986999999999999988453680543898372,0.770712968128669961842547309061047,10.7178554291425296440820602583699,0.054347263001848541974503348228609,0.193828389160216219000432147367974,71.6909177756839852690973202697933,107.161201584342094861312943976372,0.6799749999999807892336889381113,10.3873868826573101387111819349229,0.375252525252505353403620347307879,7.36484140283346722100077386130579,30.8475000000000463273863715585321,73.6201916935836493394162971526384,0.1623250000000061865623735002373,2.64095034977936826692257454851642,0.09169191919192544448780068933047,1.63929069719154907325275871698977,7.1550000000000011368683772161603,20.7706944997031826005695620551705
