coarse_step,runtime,accuracy,mae_len,rmse_len,mae_len_99p,rmse_len_99p,mae_len_1p,rmse_len_1p,mae_az,rmse_az,mae_az_99p,rmse_az_99p,mae_az_1p,rmse_az_1p,mae_el,rmse_el,mae_el_99p,rmse_el_99p,mae_el_1p,rmse_el_1p
1,323582.90625,0.993999999999999994670929481799249,0.0501594234536649336009261901381251,0.119577380804230207211880099293921,0.0452632185662701844175437315698218,0.0524163595404590829107682736776042,0.534883707305746414206737426866312,1.07604600273408168575883792073,0.0306499999999999758748536748953484,0.113192314226713400260315722789528,0.0287626262626261494648183258959762,0.107784155804196327133048782798141,0.217500000000009047207427670400648,0.36211186116999699580176752533589,0.0282749999999997413124841472154003,0.0385519130524013958760676246129151,0.0278661616161612647746270710058525,0.0379809229094082156930056726196199,0.0687500000000106636921515246285708,0.0762397534098911422439925900107482
2,99430.7421875,0.992500000000000048849813083506888,0.0728267200837830752657708899278077,1.13391743526590182966629072325304,0.0454321892444641620145695526389318,0.0526686804371423941684149383490876,2.78488527317635803370876601547934,11.3270583118477894402076344704255,0.0523250000000000381472631261203787,1.13255463444374271375636453740299,0.031300505050505030013585638926088,0.162343553284164887617890826732037,2.13375000000000625277607468888164,11.2097641589821179763930558692664,0.0294499999999997472133195230981073,0.0555765238207637096712332436254655,0.0288257575757572340191536852671561,0.0537660006721974309540357239711739,0.0912500000000105171427122741079074,0.150623703313924300895010333078972
3,76069.2421875,0.989500000000000046185277824406512,0.093954829093737743384018301640026,1.33337494726727179283898294670507,0.045663673180005512342027884642448,0.053211271305422955246733351941657,4.87477926455323107290951156755909,13.3232339354977913359334706910886,0.0719000000000008243628002446712344,1.32977253694006880557765271078097,0.0408080808080815912730621164428157,0.629371580116716233810336689202813,3.15000000000000479616346638067625,11.7309313355760487240786460461095,0.0314749999999997323585354536135128,0.0979476901208009564925305312499404,0.029368686868686526975080752777103,0.0713063528698280879591919756421703,0.240000000000008817391261572993244,0.675277720645363399576410756708356
4,166315.4375,0.993249999999999966249220051395241,0.158696075813596348957901227549883,3.27182995432219803078055520018097,0.0452756444763118132135204518817773,0.0524645142217592397315684138447978,11.3873187782047669003304690704681,32.7141349419482523330771073233336,0.12572500000000069730887730656832,3.13942072682225381541343267599586,0.100883838383838964070093879854539,2.96123971616058545563987536297645,2.58500000000000618172180111287162,10.8384097080706460758392495336011,0.0481500000000030306535059310135694,0.921362442256048908006960118655115,0.0473863636363666129724947495560627,0.925595972355343965531915273459163,0.123750000000010726419752415949915,0.273518737932159139436549821766675
5,117171.046875,0.98924999999999996269650637259474,0.245000527006550034014864536402456,4.3674679449310209733425836020615,0.0457617242350139771800421328862285,0.0534303095611274106446764164957131,19.9696420013886211108911084011197,43.6714437590515203169161395635456,0.205899999999980931608689616041374,4.11865178183360924890621390659362,0.17694444444442511410464646814944,3.97858852693613362916380538081285,3.07250000000000067501559897209518,11.3684541605268396580186163191684,0.0687500000000029753977059954195283,1.45309454269157289907354879687773,0.0472601010101039581412507573077164,0.924947104684736620683338514936622,2.19625000000000758504370423906948,11.2450516895210430590168471098877
6,157739.078125,0.988999999999999990230037383298622,0.368581194660090427639431709394557,6.26968330539908613729949138360098,0.0457635815313044494456740096666181,0.0534775512233722286059567352367594,32.3275248944099047321287798695266,62.6945751241684448018531838897616,0.328824999999980993603543311110116,6.08797585409149899504654968040995,0.204368686868667603917515407374594,4.19866095176544629197223912342452,12.6500000000000021316282072803006,44.2842903860951579986249271314591,0.0764000000000050333293089011021948,1.49849215880498731756631514144829,0.0546464646464696821026585382696794,0.995667381886926161627116016461514,2.2300000000000084199314187571872,11.2429477896146092774642966105603
7,265173.5,0.988249999999999961808327952894615,0.439731707245639091841127310544834,6.96404973776034985633032192708924,0.0459382435848970857583672966484301,0.0538129476365425199468894845722389,39.4252846096591014202203950844705,69.6384390082086781603720737621188,0.390399999999980984455305588198826,6.68380486699014575435739970998839,0.177992424242404911893800090183504,3.57108910543983348873098293552175,21.4187499999999992894572642398998,56.6110385658132955200017022434622,0.0987250000000021721291432186262682,1.95569456971175115178596115583787,0.0445202020202041595653419392419892,0.875372215204221482132140863541281,5.46500000000000607514039074885659,17.5103612184329335832444485276937
8,402662.78125,0.987999999999999989341858963598497,0.472827346644903112604652051231824,6.69832973583713719989418677869253,0.0459941115865780403293427980315755,0.0539008629829148544487793515145313,42.7293176174190847405043314211071,66.981150333508011840422113891691,0.425074999999981106846291822876083,6.460555123207380567862401221646,0.224722222222203005248530871540424,4.16988390943716513703520831768401,20.2600000000000051159076974727213,49.5224393583353332815022440627217,0.0941000000000031117108889588962484,1.76885520888512259851665930909803,0.0478030303030334072222906627303018,0.906431843476781962110067070170771,4.67750000000000554223333892878145,15.216590452529107579948686179705
9,326750.5625,0.982999999999999984900966865097871,0.90662432205752174763091488784994,11.9275463214359405128561775200069,0.0599558142626312809420063842935633,0.228191451162918529371737008659693,84.7268065937517036445569829083979,119.253851352901804716566402930766,0.871050000000000324007487506605685,11.7512470614825055292840261245146,0.522462121212121655133842068607919,9.4107573641374848705254407832399,35.3812500000000085265128291212022,71.0035751740713436674923286773264,0.124000000000002788547170951005683,2.04317247191714868037593078042846,0.0467550505050532971829113648709608,0.601796028232149060599454060138669,7.77125000000000198951966012828052,19.5346279078973026344101526774466
10,402819.34375,0.982249999999999956479257434693864,1.01079701302416036234887997125043,11.8016574577471953233498425106518,0.0924475484690605725512924095710332,0.768889646099353174513169051351724,91.9273940039790460332369548268616,117.768348623473528391514264512807,0.945799999999979990050746891938616,11.5631802502599274617978153401054,0.451249999999979722886678246140946,7.52574709368997130098932757391594,49.9062500000000142108547152020037,88.1116546632736969968391349539161,0.160800000000005854916551584210538,2.36050444820588856131848842778709,0.0864520202020261502307008072421013,1.4077134640861679315548826707527,7.52125000000000021316282072803006,19.0003700621856346231197676388547
