coarse_step,learning_rate,momentum,runtime,n_max_iterations,accuracy,mae_len,rmse_len,mae_len_99p,rmse_len_99p,mae_len_1p,rmse_len_1p,mae_az,rmse_az,mae_az_99p,rmse_az_99p,mae_az_1p,rmse_az_1p,mae_el,rmse_el,mae_el_99p,rmse_el_99p,mae_el_1p,rmse_el_1p
2,0.01,0.7,55984.01171875,0,0.991,0.0673550862313075,1.61929514414798,0.020738846877327,0.0241442618095614,4.68236278227537,16.191169346087,0.060870085920907,1.61911479971315,0.0234499575486544,0.220944036859189,3.76546279477391,16.041211394096,0.0129660992159893,0.0241666963210571,0.0121403994712243,0.0154713802923023,0.0947103739477298,0.186295260005897
2,0.01,0.75,53819.6484375,0,0.9935,0.0660574228402376,1.61261544899194,0.020620568064468,0.0236109722343373,4.56430604564143,16.1244431937903,0.0596265296933131,1.61244182432132,0.0226526423028615,0.208226756504758,3.72004138134802,15.9907593269282,0.0128940693497176,0.0236632522446967,0.01209780732518,0.0150719148480252,0.0917240097789375,0.183046036772688
2,0.01,0.8,51565.94140625,0,0.9945,0.0647182435491577,1.60292645534196,0.0205480670332517,0.0233957288756679,4.43756571862386,16.027574160511,0.0583068116912206,1.60275563979737,0.0217134738394891,0.191064546427413,3.68104725901264,15.9144118226523,0.0128463789587974,0.0234004344589161,0.0120607781610209,0.0148397942270778,0.0906208579386738,0.181538710772947
2,0.01,0.85,49193.09765625,0,0.9955,0.0632999737032184,1.58727880468171,0.0205784053315981,0.0234204270804589,4.29273524249362,15.8710773816752,0.0568820907282624,1.58710921004258,0.0206219743083462,0.166551329508438,3.64663361629996,15.7843393675331,0.0128358341301473,0.0232025686038105,0.012066909480795,0.0148155287227944,0.0889593744160189,0.17917988095541
2,0.01,0.9,46953.8984375,0,0.9955,0.0611205802521158,1.55659082550891,0.0205634905171092,0.0234246084679345,4.07627246401777,15.5641632377055,0.0546859114175155,1.5564232302626,0.0190197024919922,0.128578735605717,3.58564059504433,15.511563768246,0.0128248532887085,0.0228413300273263,0.0120829342977519,0.0147772060586145,0.0862748333934203,0.174798225593817
2,0.01,0.95,45824.69140625,0,0.9955,0.0565431322300443,1.45995937576041,0.0205737793289145,0.0234314355935023,3.6175090694419,14.5977321424202,0.0500852810777082,1.45979658883012,0.0164697047635129,0.0648168718109102,3.37802733618304,14.5837130599769,0.0127449471939639,0.0218013327728751,0.0120426789770361,0.0146750647072083,0.0822695006698211,0.161893224612549
2,0.03,0.7,46870.83984375,0,0.9955,0.0611057371831307,1.55652305729431,0.0205502276951353,0.0233932696736628,4.07610117649468,15.5634901460869,0.0546946887545744,1.55635582049399,0.0190306401899495,0.128569811702192,3.58543549665244,15.5108947049137,0.0127840240866217,0.0228163954928624,0.0120432221763681,0.0147429310323233,0.086123413201723,0.174759099338807
2,0.03,0.75,46061.00390625,0,0.9955,0.0600250373802045,1.53797731138629,0.0205611024192676,0.0234019843031982,3.96695459851295,15.3780103849568,0.053613214861494,1.53781111536662,0.0183277994706041,0.110997386280002,3.54686933855959,15.3384021690062,0.0127730681423879,0.0226093740266594,0.0120439824167694,0.0147222703459616,0.0849525549786258,0.172222531098343
2,0.03,0.8,45289.33984375,0,0.9955,0.058576149710392,1.50952866130428,0.0205573448600118,0.0234045959745301,3.82243782989803,15.0934902588417,0.0521591519000149,1.50936386372141,0.0174718474887785,0.089907674204196,3.48620228861242,15.0671056182866,0.0127514627064452,0.0223048468065701,0.0120362442440699,0.0146996732962557,0.083558090481601,0.168400296911281
2,0.03,0.85,44630.0703125,0,0.9955,0.0565345229641897,1.45958877125462,0.020569926001699,0.0234295826576982,3.61702962225077,14.5940259191304,0.0500999627004003,1.45942594925313,0.0164918205793116,0.0648629214029083,3.37730603268818,14.5799827666778,0.0127605348979216,0.0218009132645881,0.0120645531318443,0.0146955732051304,0.0816627297395721,0.161703291883938
2,0.03,0.9,44240.7109375,0,0.9955,0.0531249701201046,1.34735496651912,0.020565126984622,0.0234208125901734,3.27654944053288,13.4715342729994,0.0467017871257891,1.34719618155637,0.0155782959535179,0.0389364428027084,3.12792741318063,13.4663902568124,0.0127047761844993,0.0206846368998955,0.0120543744386567,0.014678125170021,0.0770945490229231,0.146479117541983
2,0.03,0.95,44802.5625,0,0.9955,0.0430840595185813,0.907341447994599,0.0205306027694064,0.0233005540861834,2.27587627768689,9.0704521198583,0.0366239312374012,0.907175617016712,0.0153743916795644,0.0350421945278969,2.14032834746324,9.06505336038512,0.0125842699732865,0.0173465598688205,0.0120665735806447,0.0146982674642346,0.0638362128448245,0.0932869034199858
2,0.05,0.7,44958.72265625,0,0.9955,0.0578668034352654,1.49322717972729,0.0205763000642716,0.0234111855860374,3.74962663716365,14.9304548072116,0.0514557792657653,1.49306325584642,0.0171181609157296,0.0803506598972783,3.4508799959193,14.9092126542559,0.0127375876214562,0.0221251964421448,0.0120306446289128,0.014680161308145,0.0827249438832499,0.166184311212181
2,0.05,0.75,44502.78515625,0,0.9955,0.0565475365379456,1.45951436940918,0.0205860273645179,0.0234315596352276,3.61673694470729,14.5932814915111,0.0501070507543513,1.45935149967098,0.0165013893572433,0.0648695484965937,3.37706752906805,14.5792346227537,0.0127484469202412,0.0218035529200035,0.0120467837260374,0.0146876442215702,0.0822131031464214,0.161810165343146
