coarse_step,learning_rate,runtime,n_max_iterations,accuracy,mae_len,rmse_len,mae_len_99p,rmse_len_99p,mae_len_1p,rmse_len_1p,mae_az,rmse_az,mae_az_99p,rmse_az_99p,mae_az_1p,rmse_az_1p,mae_el,rmse_el,mae_el_99p,rmse_el_99p,mae_el_1p,rmse_el_1p
2,0.05,52255.265625,0,0.994,0.0648403072865933,1.60291874234595,0.020591164305921,0.0234996689715621,4.44550546237315,16.0274819683772,0.0584288154168335,1.60274790064778,0.0217595305808419,0.191062782684569,3.68868801418,15.9143359772658,0.0128463907744243,0.0234021694089312,0.0120609940331534,0.0148432499516368,0.0906006681602527,0.181533105688416
2,0.07,49636.734375,0,0.995,0.0631831715327821,1.58416918086021,0.0205603564108157,0.0234428642958328,4.28284186860745,15.8399744992843,0.0567694029306234,1.58399990509681,0.0204569533316851,0.162167618041524,3.65170191322551,15.7576024393588,0.0128270468678995,0.0231580275625064,0.0120616515051111,0.0148027865567701,0.0886011877839493,0.178707295776911
2,0.09,48015.265625,0,0.9955,0.0616803075572978,1.56571306207779,0.0205113527835112,0.0232947892980606,4.13740683016217,15.6554149482684,0.0552621490986147,1.56554518794741,0.0194152386832997,0.138667275422443,3.6041062802148,15.5945356082345,0.0127992475512176,0.022927216484232,0.0120510170295286,0.014761627602324,0.0868740691984275,0.176048477056702
2,0.1,47442.69921875,0,0.9955,0.061085953923104,1.55649865422723,0.020530286864009,0.0233338252238916,4.07609699277351,15.5632549226875,0.0546727333018732,1.5563314003875,0.0190245880923526,0.12856604664728,3.58383910904442,15.5106527643588,0.0127877267813205,0.0228173788817634,0.0120471676731694,0.0147454846609437,0.0861030784882811,0.174750609248345
2,0.2,45023.75,0,0.995,0.0572595350662857,1.45987853567653,0.0205390153410524,0.0233775684331855,3.69259098786438,14.5969321890946,0.0508507682226264,1.45971622477032,0.0172758267537978,0.0743960694932423,3.37476997363666,14.5783813554634,0.0127093043722463,0.021768832567153,0.0120136039063125,0.0146514330998264,0.0815836504997,0.161667629529488
2,0.3,44212.69921875,0,0.995,0.0535158172093273,1.34701972354189,0.0205324861080793,0.023367440530059,3.31886559623288,13.4681905195417,0.0471081133593487,1.34686128949553,0.0160189885747477,0.0445539528985797,3.12493146703485,13.4613154222381,0.0126626777772104,0.0206591981769999,0.012003858230271,0.0146298149527105,0.0778858129242146,0.14659853294679
2,0.4,43778.80078125,0,0.995,0.0502162289236892,1.21555720743407,0.0205247727220291,0.0233558951298136,2.98967039288804,12.1533504914734,0.0438107832344133,1.21540123822069,0.0156547426296966,0.0372411846282401,2.83125880310137,12.1483625772949,0.0126202313910016,0.0194718945283945,0.0120045448035764,0.0146273462158303,0.0735732035460952,0.129358034841418
2,0.5,43497.28125,0,0.995,0.0467432328183313,1.06605650316401,0.0205234555433257,0.0233495978893257,2.64250118304388,10.6580331968609,0.0403366060869145,1.06589952149383,0.0155237942602541,0.0357098381870449,2.49680497692629,10.6530716195042,0.0125747825351689,0.018294207211642,0.0120070813638699,0.0146264986836352,0.0687771984937665,0.110852559013103
2,0.6,43366.3125,0,0.995,0.0434982051844931,0.9041793998843,0.0205120228167453,0.0233353302647326,2.31913025959153,9.03881239385438,0.0370964842038119,0.904014624631703,0.0159172374477853,0.0428654475604502,2.13384191305045,9.03007956454087,0.0125183537993066,0.0172611015620495,0.0120005840341505,0.0146174619047311,0.0637775605497614,0.0929581284904577
2,0.7,43271.8515625,0,0.995,0.0396953243459084,0.739341833149367,0.0205094783915466,0.0233294437533894,1.93909407382773,7.38977351431207,0.0332928045737382,0.739157353862818,0.0158013355991675,0.0402006374202357,1.76494823305624,7.38074293979258,0.0124749341476124,0.0165152195014932,0.0120036704498827,0.0146176211643033,0.0591300402228511,0.0782396160295047
2,0.8,43223.26953125,0,0.9955,0.0358002642118162,0.584267014441908,0.0204732565987516,0.0232328873278178,1.55317401790521,5.8380953639163,0.0293942131820859,0.584045758835677,0.0153674422230667,0.0350255651908262,1.41804453812499,5.83005082395664,0.0124369929295735,0.016077803050125,0.0120024721201263,0.0146121773119627,0.0554545530648452,0.068640499983855
2,0.9,43218.10546875,0,0.995,0.033042094573337,0.44983188939895,0.0205003783773818,0.0233152068737367,1.27467199797291,4.49233308913509,0.0266404787892381,0.449552042861483,0.0156361056464267,0.037259402324876,1.11607341992757,4.48020824080692,0.012410033154298,0.0158647243687514,0.0120031317542659,0.0146115035259402,0.0526932717574762,0.0635046489327968
3,0.05,30535.095703125,0,0.9895,0.0702780089832982,1.61773343929527,0.0208717650892175,0.0251384315556678,4.96149615449729,16.1754006419638,0.0606491351599526,1.61493027392581,0.0159911833195928,0.047839899744435,4.48178636735557,16.1422861460036,0.0162804531486693,0.0951929145053057,0.0149997910145754,0.090461667079228,0.143066004423965,0.30987269859878
3,0.07,27908.8203125,0,0.993,0.0669755449658895,1.59479574904814,0.0206553942347841,0.0238290488403931,4.65267046734533,15.9461949563181,0.0571751816819846,1.59175414285152,0.0148099385999317,0.0304811150039058,4.25133424680521,15.9146518777409,0.0163359726682746,0.0984491233939072,0.0148888079844211,0.0901469867500339,0.159605276369771,0.405834383599895
3,0.09,26218.625,0,0.9925,0.0655917242318348,1.573812590196,0.0205772361567174,0.0235784420047118,4.52202604366845,15.7363772373483,0.0559853755358786,1.57091887353338,0.0150311315167828,0.0338893380687889,4.11045553342636,15.7055694098017,0.0160738253391034,0.0953937201081314,0.0148224403370972,0.0899730728336723,0.139960940537717,0.329508655316754
3,0.1,25459.943359375,0,0.9925,0.0669268689795279,1.56799798102574,0.0205718622036937,0.0235724189731652,4.65607253978711,15.6782255569752,0.0573974257727891,1.56515533204145,0.017121003573801,0.122150300884874,4.04476322347262,15.6042933975607,0.0159645912125908,0.0943740169909614,0.0147914191755693,0.0899141384242553,0.132108622877728,0.300457703732139
3,0.2,22779.01953125,0,0.993,0.0597472924130037,1.46289580638973,0.0205631805252656,0.0235596041320021,3.93897436929908,14.6270798041005,0.0506133149362235,1.46006653828506,0.0146254416967505,0.024931479361219,3.61341276564405,14.5985579196824,0.0154443653041142,0.0909386833692741,0.0146916084254266,0.0897164478821269,0.0899672962941897,0.173578086910922
3,0.3,21740.2421875,0,0.993,0.0603121965475686,1.36404444782433,0.0205538685813426,0.023546498122904,3.99638666520394,13.6384323235564,0.0512225896652141,1.3610375687065,0.0186926675113763,0.197631632329975,3.27168488289516,13.467574332277,0.015321208635036,0.0905206728315902,0.0146482674960473,0.0896879360601126,0.0819423813949204,0.151824106751259
3,0.4,21245.345703125,0,0.993,0.0552627928091664,1.22459779123619,0.0205444119131848,0.0235326504728872,3.49238250151134,12.2437392267177,0.046173853146952,1.22126743687644,0.0169738272413487,0.122165223343472,2.93697641780169,12.1520329739437,0.0152649541221524,0.0902529662991934,0.0146351402293084,0.0896832871008101,0.0776165295137151,0.135254153521833
3,0.5,20914.357421875,0,0.993,0.0547061554667324,1.09899577702144,0.0205366922627909,0.0235192762497308,3.43748301265695,10.9874660095911,0.0456185383878252,1.09530397989456,0.0199568295199698,0.254352513049712,2.58612771630551,10.6566531307306,0.0152064476866007,0.0900050528476174,0.0146246088230869,0.0896820041735942,0.0728084951744664,0.117675946665309
3,0.6,20774.099609375,0,0.993,0.0498484028861158,0.929364897226223,0.0205301879886341,0.0235097947994394,2.9523516777368,9.29070464953715,0.0407620874413926,0.925016105851771,0.0187176900466344,0.199667807951276,2.22315742952245,9.03430260113323,0.0151557039558191,0.0898015373539556,0.0146239109759633,0.0896813998387757,0.0678032089615462,0.100990182127744
3,0.7,20638.052734375,0,0.993,0.0452013320398151,0.760254236092253,0.0205252388218547,0.0234988134741086,2.4881345606179,7.59894618485926,0.0361146495484698,0.754948567896701,0.0177497276991126,0.157091328104878,1.85424191263484,7.38590841844916,0.0151111017386877,0.0896613814690329,0.0146259789347604,0.089681649335039,0.063138259327487,0.0876316619476391
3,0.8,20602.3359375,0,0.993,0.0409774499145347,0.60320669537019,0.0205187498721062,0.023493751812241,2.06638875411496,6.02753581929591,0.0318944308163439,0.596517975645652,0.0169905596589327,0.123811221261959,1.50737767540005,5.83658949167331,0.0150698970675344,0.0895802549172452,0.0146225555219392,0.0896799811235002,0.0593567100814594,0.0790873231753288
3,0.9,20523.951171875,0,0.993,0.0373673874019652,0.46794405746883,0.0205170913228307,0.0234886667240801,1.70554669923628,4.67360075991265,0.0282829926233763,0.459297030121762,0.0163931892296733,0.0977949359300505,1.20537352859998,4.48871419094649,0.0150481167103912,0.0895426102016255,0.0146281062826004,0.0896801337034406,0.0566291490616817,0.0746846198784819
4,0.05,25984.30078125,0,0.989,0.156062904600923,4.07720762872124,0.021941805104214,0.0274936782822171,13.4340517547751,40.7711585613907,0.146934214465434,4.05134874713087,0.105042639656303,3.73678496532409,4.29420012056943,16.0919247219762,0.0256857891716132,0.458470693527718,0.0235571567625835,0.459305325145953,0.236420397665547,0.366552715640117
4,0.07,22424.98828125,0,0.992,0.15179410664907,4.06832431961397,0.021511457305674,0.0254274535515769,13.0497763916453,40.6824565134928,0.14296938919437,4.04236218651566,0.102811629833256,3.73553204164285,4.11858756594465,15.893503104013,0.0252690839500382,0.45887985637947,0.0233073802107753,0.459225468722427,0.219477754137066,0.423269627866586
4,0.09,20218.1796875,0,0.9935,0.14967241165469,4.06017832599474,0.0214788550640173,0.0252528010375395,12.8408345141313,40.6010057904442,0.141147889092633,4.03424099777472,0.102177115437953,3.73492492967372,3.9992544809059,15.7001045860566,0.0249118823998873,0.458200404573219,0.0232593557785027,0.459215221983956,0.18851201791697,0.343187536240164
4,0.1,19375.23828125,0,0.9935,0.150844614544584,4.05792967528932,0.0214584483615031,0.0251585387424783,12.9600750666696,40.5785246491821,0.142397260355727,4.03200098077663,0.10392591123555,3.73655165955196,3.95106082325322,15.6039475374925,0.0248090841693731,0.45799709672658,0.0232396167666137,0.459212433947292,0.180186357042553,0.315284270635006
4,0.2,15781.552734375,0,0.9935,0.144166160583654,4.02066728906992,0.0214081375436004,0.0250476329499212,12.297210441549,40.2059004865202,0.136115168442266,3.99457282267476,0.0997062801845542,3.73386143072069,3.74059510595572,14.6775613221901,0.024330411623684,0.457332935338159,0.023198150193551,0.459207422400293,0.136424293206848,0.197654123501433
4,0.3,14623.59765625,0,0.9935,0.144342012098681,3.98451268420749,0.0213987541249268,0.0250335773841372,12.3157245515003,39.8443483036349,0.136338290811459,3.95818941823347,0.103493239889203,3.73892272654878,3.3879983321148,13.5185640770884,0.024216844539238,0.457250325308825,0.0231645985331588,0.459202259041441,0.128389199141072,0.178833004043453
4,0.4,13925.92578125,0,0.9935,0.138972618840433,3.93815700489316,0.0213889665888019,0.0250182573816905,11.779754191752,39.3807833100342,0.130974253180524,3.91152810076971,0.101779294617746,3.73569395056078,3.0212751508956,12.1827619355269,0.0241599260312572,0.457196360525725,0.0231506078134512,0.45920032290388,0.124082429594044,0.164992390276388
