coarse_step,runtime,accuracy,mae_len,rmse_len,mae_len_99p,rmse_len_99p,mae_len_1p,rmse_len_1p,mae_az,rmse_az,mae_az_99p,rmse_az_99p,mae_az_1p,rmse_az_1p,mae_el,rmse_el,mae_el_99p,rmse_el_99p,mae_el_1p,rmse_el_1p
1,161773.71875,0.991999999999999992894572642398998,0.05099222057032151006472631138422,0.153011437480993300885856456261536,0.0442196624764309015320762341616501,0.0522837054787228319718828117856901,0.721475471865492656853291464358335,1.43896664311581434780862309708027,0.033575000000000028432811660650259,0.148622844811956839050637313448533,0.0312121212121212222856403428750127,0.143019388386835422100062942263321,0.267500000000002013944566670033964,0.42880648315994263075623393888236,0.0259749999999997240041071933092098,0.0363833753244525506809203818647802,0.0255808080808077042966885983332759,0.0358694321340069927073201938583225,0.0650000000000097999386383662567823,0.0707106781186617877610345317407337
2,49747.9609375,0.990500000000000047073456244106637,0.0924288028418053242418750414799433,1.59789314411195881859839573735371,0.0444992740778989148697775135588017,0.052776448680765954135640782851624,4.83745215046853882512323252740316,15.9703005607283490263625935767777,0.0749750000000000416111589629508671,1.59737401694155556342025192861911,0.0373737373737373715365528425991215,0.226418090079284234361622907272249,3.79750000000000387245790989254601,15.8140799605920836512495952774771,0.0264249999999997195465617494392063,0.0407277546643561375039332972392003,0.0256565656565652805420896243049356,0.0360975110365005028012497234612965,0.102500000000009222622665561175381,0.192028643696717654654193552232755
3,38086.37109375,0.984999999999999986677323704498122,0.118721947109798581232453784650716,1.8148877375749719043085406156024,0.045590793387816762327613417937755,0.0567089859802580517622594413751358,7.35870616558599799361672921804711,18.1401040515207654379992163740098,0.0980750000000001759259404821023054,1.81191438815414973539930088008987,0.0502777777777778378531792213834706,0.843081618920518027771038305218099,4.83000000000001072919530997751281,16.0603704814054708549520000815392,0.0302249999999997034927368133594427,0.103844836173975774151756468199892,0.0266161616161612532560631905198534,0.0425215334634198513508174244179827,0.387500000000006172840016915870365,0.948353836919529680216101041878574
4,82926.4453125,0.991500000000000047961634663806763,0.191019259226833743037232693495753,4.11059697610943075574141403194517,0.0443225064011312161471600745699106,0.0525486787309025343839508082055545,14.7139977889713868819399067433551,41.1026443796503144767484627664089,0.171875000000002109423746787797427,4.08464671054906780511828401358798,0.13146464646464856018681643945456,3.81419895081037374495736003154889,4.17250000000000209610107049229555,15.1053177722284281969677977031097,0.0378250000000000252686760404685629,0.461160221615003140804844861122547,0.0372222222222221565957056554907467,0.463163256336468098783853974964586,0.0975000000000093292040759251904092,0.171391365010028912108097642885696
5,58527.85546875,0.985999999999999987565502124198247,0.22446222246029648439424875050463,4.17120576092812722635017053107731,0.0462311217105663418980299184113392,0.0621784658556446961918950933068118,17.8693411966835817850096645997837,41.7074693550208053238748107105494,0.204025000000000483746376289673208,4.14449680299060219113016501069069,0.148661616161616688680524589472043,3.84089718185940043326809245627373,5.68499999999999783284465593169443,16.0371054121371940937024191953242,0.0401750000000000648259224078628904,0.471278845271033641761704302552971,0.0368686868686868979283488556575321,0.46054973738572413388681070500752,0.367500000000004767297667740422185,1.100851942815201933711932724691
6,78766.6875,0.986999999999999988453680543898372,0.403834955727545408254997028052458,7.33655726482114989295268969726749,0.0449377462585667727945626381824695,0.054204532219467388420852671515604,35.9346586931564289102425391320139,73.3635902542943938442476792261004,0.382875000000000687006007638046867,7.3037513477665134686844794487115,0.185050505050505631476909229604644,4.20192296046199942338716937229037,19.9675000000000046895820560166612,59.8875519202446611188861425034702,0.0524249999999998606003970280653448,0.693028679060273655743174003873719,0.0507828282828280755389904754792951,0.694821210925186782958462572423741,0.21500000000000829558643999916967,0.483735464897913802762019486181089
7,132472.1875,0.984999999999999986677323704498122,0.611976352662145228755719017499359,9.18225367216567356365430896403268,0.0475628563572928833580455432183953,0.0826181431391294768262767433952831,56.4889124868425369641045108437538,91.8188569957173967850394546985626,0.568225000000000757260920636326773,8.84506408964916168713443767046556,0.19934343434343509970929630981118,4.22388500618278328602173132821918,37.0874999999999985789145284797996,77.8282508154975829484101268462837,0.128074999999999744604295415228989,2.46548651385482120446113185607828,0.0314141414141411029481432137799857,0.183360879473269761108511488600925,9.69750000000000511590769747272134,24.5872705886603064584505773382261
8,201214.296875,0.984999999999999986677323704498122,0.685282322360106777026089730497915,8.8189496256640449445285412366502,0.0483600113511970866597700080546929,0.102795521263910477616221328389656,63.7405911122421784398284216877073,88.1835649370108001221524318680167,0.642674999999981677589744322176557,8.54658140720611214646851294673979,0.297171717171698546167135646101087,5.25307149209025059377609068178572,34.8474999999999965893948683515191,67.6204416208590117776111583225429,0.120925000000000074096284663482948,2.17481464727456730301469178812113,0.036060606060606119338540764829304,0.370152166362193668636137999783386,8.52250000000000440536496171262115,21.4340296024802583474411221686751
9,163264.4375,0.97899999999999998134825318629737,1.2535319844555228296911764118704,14.5088330854000808756154583534226,0.103891770770549896063528194645187,0.988581270960020463967055093235103,115.067913139267858468883787281811,144.754522381858578228275291621685,1.21717499999998057802486073342152,14.3077162311111418802056505228393,0.660909090909071017527764979604399,10.6526566374001117054604037548415,56.2875000000000085265128291212022,96.1074613388575613726061419583857,0.17157500000000019957369090661814,2.40738317473559426673546113306656,0.0625000000000001665334536937734811,0.849835842734340873860787723970134,10.9700000000000024158453015843406,22.5399534161009320598623162368312
10,201089.25,0.977500000000000035527136788005009,1.25088105791964987467679293331457,12.7939756330860650024305869010277,0.174755135835377356512410074174113,1.7451928925832904671011647224077,107.787347344262613546561624389142,126.755895819484479147831734735519,1.21162499999998130029155163356336,12.6299829275419490670628874795511,0.528131313131293800289256523683434,7.68332215867202084069731427007355,68.8775000000000119371179607696831,100.535249415317025523108895868063,0.159275000000003386091407264757436,2.04189709584004974729509740427602,0.0812878787878821978951648929978546,1.12963132002965793709847730497131,7.8800000000000007815970093361102,17.047103859600316155820109997876
