technique,mean_len,mad_len,std_dev_len,mad_len_99p,std_dev_len_99p,mad_len_1p,std_dev_len_1p,mean_az,mad_az,std_dev_az,mad_az_99p,std_dev_az_99p,mad_az_1p,std_dev_az_1p,mean_el,mad_el,std_dev_el,mad_el_99p,std_dev_el_99p,mad_el_1p,std_dev_el_1p
music,174.096334660044,2.06044904342401,6.08338122988294,1.89146588576947,4.6747247690303,18.7897816512239,39.2084251642023,160.612764999999,1.82146223499998,6.59300214657748,1.63465139898988,5.03069294495671,20.3157350000006,42.9102371391752,67.0657199999999,1.79730494400004,2.96690274218756,1.75481529696974,2.9007078013311,6.00378000000006,6.87420679339811
esprit,171.270977619645,2.2989256813291,6.36900363860537,2.26161033976583,6.36780566732024,5.99314449609234,6.48650770430542,160.677724555918,2.15529785727733,11.6199085887035,2.11681500290976,11.6603185114829,5.96510043966655,6.47207925236133,58.3551922789239,3.00950536314967,4.07799854709913,2.95146968144749,3.98418952272645,8.75503785166613,9.56579143965304
silabs,29.2334278927847,1.00051148177086,1.26667403491966,0.976825545616317,1.22718563421121,3.345419161071,3.36954560339256,19.42154751,0.752365827848001,0.965308164443769,0.73054910398788,0.923157439662527,2.91222149,2.96854156988863,21.8214526199999,1.089297849828,1.37609864869752,1.06340599598788,1.33259914601337,3.65259138000007,3.68218972665924
