technique,mean_len,mad_len,std_dev_len,mad_len_99p,std_dev_len_99p,mad_len_1p,std_dev_len_1p,mean_az,mad_az,std_dev_az,mad_az_99p,std_dev_az_99p,mad_az_1p,std_dev_az_1p,mean_el,mad_el,std_dev_el,mad_el_99p,std_dev_el_99p,mad_el_1p,std_dev_el_1p
music,174.096345903058,2.06044201378663,6.08328132694953,1.89145659923896,4.67458233270051,18.7899980540057,39.2085563588728,160.612764999999,1.821462235,6.59300214657744,1.63465139898989,5.03069294495666,20.3157350000006,42.9102371391752,67.065735,1.797320922,2.96701856411032,1.75481643636363,2.90070811497047,6.00526500000007,6.87919084778333
esprit,171.270977619645,2.2989256813291,6.36900363860536,2.26161033976583,6.36780566732024,5.99314449609235,6.48650770430543,160.677724555918,2.15529785727733,11.6199085887035,2.11681500290976,11.6603185114829,5.96510043966655,6.47207925236133,58.3551922789239,3.00950536314967,4.07799854709912,2.95146968144748,3.98418952272645,8.75503785166612,9.56579143965304
silabs,29.2334278927847,1.00051148177086,1.26667403491966,0.976825545616317,1.22718563421121,3.345419161071,3.36954560339256,19.42154751,0.752365827848001,0.965308164443769,0.73054910398788,0.923157439662527,2.91222149,2.96854156988863,21.8214526199999,1.089297849828,1.37609864869752,1.06340599598788,1.33259914601337,3.65259138000007,3.68218972665924
