technique,mean_len,mad_len,std_dev_len,mad_len_99p,std_dev_len_99p,mad_len_1p,std_dev_len_1p,mean_az,mad_az,std_dev_az,mad_az_99p,std_dev_az_99p,mad_az_1p,std_dev_az_1p,mean_el,mad_el,std_dev_el,mad_el_99p,std_dev_el_99p,mad_el_1p,std_dev_el_1p
music,111.429707581299,1.88260972851234,6.79693236660793,1.60853723100049,2.54160135755184,29.0157869821852,63.0897372875654,99.1637699999996,2.37711726799998,7.296829235161,2.08980299797978,3.10626508491282,30.8212300000004,66.0994122039896,50.553675,3.54838336500002,4.5174071926687,3.48691930808082,4.39734434651609,9.63332499999998,11.2414270248765
esprit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
silabs,89.6591569393773,1.155394814907,1.53471064575883,1.10762309941419,1.41393569377525,5.88479464869503,6.13281959244756,81.0549089199999,1.15406559784,1.51518384436095,1.11188852226262,1.42145770462954,5.32959608000008,5.43548982357867,38.2844171700001,1.40476081057,1.79697514946261,1.36075245683839,1.70770863378104,5.76158782999995,5.84819286339622
